distance,resettotal,impactprimnum,impulse,avgposition,betweentime,v,avgimpulse,N,P,parentprimnum,parentobject,impactobject,impacttime
4.1535258293151855,5,-1,0.10068431496620178,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 5.552007675170898, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(0.038113489747047424, 0.0, 5.561649322509766)",166,2,0,1.1666666269302368
4.1535258293151855,5,-1,0.7483139634132385,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 4.691646099090576, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(-2.550424575805664, 0.0, 1.11753249168396)",258,2,0,1.1666666269302368
4.1535258293151855,5,-1,0.44470253586769104,"(-1.6368622779846191, 4.696000576019287, 0.7927767038345337)",0.0416666679084301,"(0.0, 5.613682270050049, 0.0)",0.3386450409889221,"(0.0, 1.0, 0.0)","(1.9657970666885376, 0.0, 4.124456882476807)",348,2,0,1.1666666269302368
0.6454653143882751,6,-1,0.32314932346343994,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.398282051086426, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(3.0380001068115234, 0.0, 3.8355305194854736)",291,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.36298689246177673,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 5.265994548797607, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(-3.0380001068115234, 0.0, 3.1553726196289062)",277,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.9962751269340515,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.398282051086426, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(0.3733767569065094, 0.0, 2.8121635913848877)",226,2,0,1.2083333730697632
0.6454653143882751,6,-1,1.4446592330932617,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.4567952156066895, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(2.711848735809326, 0.0, 1.3982373476028442)",75,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.08637077361345291,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.884582996368408, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(1.5752482414245605, 0.0, 6.134580135345459)",322,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.08021124452352524,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 5.521721363067627, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(-0.2962374985218048, 0.0, 6.288785934448242)",364,2,0,1.2083333730697632
0.6454653143882751,6,-1,0.1553405225276947,"(-1.257035732269287, 4.731210231781006, 1.313466191291809)",0.0416666679084301,"(0.0, 4.850786209106445, 0.0)",0.3762628138065338,"(0.0, 1.0, 0.0)","(-3.0380001068115234, 0.0, 3.6278533935546875)",118,2,0,1.2083333730697632
