P,rest,pscale,name
"(-2.176144599914551, 22.609464645385742, 0.9075222015380859)","(-2.176144599914551, 22.609464645385742, 0.9075222015380859)",1.7946832180023193,piece_76
"(-3.0380001068115234, 5.634428977966309, 0.8546337485313416)","(-3.0380001068115234, 5.634428977966309, 0.8546337485313416)",0.7528848648071289,piece_77
"(1.820125937461853, 8.549625396728516, -0.4012680649757385)","(1.820125937461853, 8.549625396728516, -0.4012680649757385)",1.0259642601013184,piece_78
"(-3.0380001068115234, 19.96450424194336, -4.920322895050049)","(-3.0380001068115234, 19.96450424194336, -4.920322895050049)",1.0920768976211548,piece_79
"(3.0380001068115234, 5.626643657684326, 2.2475600242614746)","(3.0380001068115234, 5.626643657684326, 2.2475600242614746)",0.9071145057678223,piece_80
"(1.019186019897461, 9.75948429107666, 6.654796600341797)","(1.019186019897461, 9.75948429107666, 6.654796600341797)",0.8884754180908203,piece_81
"(-3.0000483989715576, 10.00804615020752, -1.059625506401062)","(-3.0000483989715576, 10.00804615020752, -1.059625506401062)",1.1233141422271729,piece_82
"(-3.0380001068115234, 16.99714469909668, 0.8781188726425171)","(-3.0380001068115234, 16.99714469909668, 0.8781188726425171)",1.3490991592407227,piece_83
"(-1.349806785583496, 21.688579559326172, 1.354480266571045)","(-1.349806785583496, 21.688579559326172, 1.354480266571045)",1.7615623474121094,piece_84
"(3.0380001068115234, 16.448646545410156, 2.190608501434326)","(3.0380001068115234, 16.448646545410156, 2.190608501434326)",1.3950660228729248,piece_85
"(0.007488880772143602, 14.570657730102539, -3.105614423751831)","(0.007488880772143602, 14.570657730102539, -3.105614423751831)",1.4402556419372559,piece_86
"(-3.0380001068115234, 13.47426986694336, 1.9036685228347778)","(-3.0380001068115234, 13.47426986694336, 1.9036685228347778)",1.0073332786560059,piece_87
"(0.2171616107225418, 13.561814308166504, 5.836105823516846)","(0.2171616107225418, 13.561814308166504, 5.836105823516846)",1.9565486907958984,piece_88
"(0.4037487506866455, 11.270925521850586, -1.8676323890686035)","(0.4037487506866455, 11.270925521850586, -1.8676323890686035)",0.9918155670166016,piece_89
"(-3.0380001068115234, 10.909250259399414, 2.6938371658325195)","(-3.0380001068115234, 10.909250259399414, 2.6938371658325195)",1.7816061973571777,piece_90
"(-0.4059140980243683, 15.134939193725586, 3.9371774196624756)","(-0.4059140980243683, 15.134939193725586, 3.9371774196624756)",0.983310341835022,piece_91
"(3.0380001068115234, 22.24319839477539, -2.706787109375)","(3.0380001068115234, 22.24319839477539, -2.706787109375)",1.9645278453826904,piece_92
"(-3.0380001068115234, 23.460542678833008, -1.9771665334701538)","(-3.0380001068115234, 23.460542678833008, -1.9771665334701538)",0.6961287260055542,piece_93
